player_id,name,player_name,team_name,games,minutes,actions,offensive,defensive,vaep,offensive_p90,defensive_p90,vaep_p90,goals,assists,goals_p90,assists_p90,ga_p90,rank_goals_p90,rank_assists_p90,rank_ga_p90,rank_vaep_p90
6386.0,Eneko Bóveda,Eneko Bóveda Altube,Athletic Club,23,1543,1865,1.8726488866959696,0.2630838292388944,2.135732715934864,0.109227738044483,0.0153451358596892,0.1245728739041722,0.0,0.0,0.0,0.0,0.0,212,194,257,152
6792.0,Pau López,Pau López Sabata,Espanyol,36,3331,1608,2.655953591573052,1.9283738757076208,4.584327467280673,0.0717609796582331,0.0521025664406141,0.1238635460988473,0.0,0.0,0.0,0.0,0.0,212,194,257,153
6614.0,Alexis Ruano,Alexis Ruano Delgado,Getafe,15,1402,1111,2.031397202925291,-0.1212227615760639,1.910174441349227,0.1304035294317234,-0.0077817749941838,0.1226217544375395,1.0,0.0,0.06419400855920114,0.0,0.06419400855920114,165,194,218,154
6580.0,Recio,José Luis García del Pozo,Málaga,33,2847,3150,3.711370287775528,0.136954882676946,3.848325170452474,0.1173246666314708,0.0043294483459519,0.1216541149774227,0.0,3.0,0.0,0.09483667017913593,0.09483667017913593,212,72,165,155
3638.0,Shkodran Mustafi,Shkodran Mustafi,Valencia,30,2793,3056,3.148111960210372,0.5327258244215045,3.680837784631876,0.1014429203075307,0.0171662456849034,0.1186091659924342,2.0,0.0,0.0644468313641246,0.0,0.0644468313641246,162,194,216,156
27092.0,Abdoul Karim Yoda,Abdoul Karim Yoda,Getafe,18,1039,1196,1.6259956436697394,-0.2578825924720149,1.3681130511977244,0.1408465908857329,-0.0223382418888174,0.1185083489969154,0.0,0.0,0.0,0.0,0.0,212,194,257,157
6796.0,Nemanja Radoja,Nemanja Radoja,Celta Vigo,30,1544,1725,1.4412010572236031,0.5898511938285083,2.0310522510521114,0.0840078336464535,0.0343825177749778,0.1183903514214313,0.0,0.0,0.0,0.0,0.0,212,194,257,158
6752.0,Víctor Ruíz,Víctor Ruíz Torre,Villarreal,35,3125,3086,3.658842216071207,0.411110200220719,4.069952416291926,0.1053746558228507,0.0118399737663567,0.1172146295892074,0.0,0.0,0.0,0.0,0.0,212,194,257,159
6402.0,Paco Alcácer,Francisco Alcácer García,Valencia,34,2524,1167,3.6367679863233904,-0.3763236625818535,3.260444323741537,0.1296787316834806,-0.0134188310746302,0.1162599006088503,13.0,4.0,0.46354992076069734,0.14263074484944532,0.6061806656101427,21,38,17,160
27656.0,Carl Medjani,Carl Medjani,Levante UD,14,1314,1016,1.7162518512341194,-0.0197699609270785,1.6964818903070409,0.1175514966598712,-0.0013541069128135,0.1161973897470576,1.0,0.0,0.0684931506849315,0.0,0.0684931506849315,153,194,208,161
6375.0,Juanfran,Juan Francisco Torres Belén,Atlético Madrid,35,3148,3300,4.122540324654663,-0.0703806623350828,4.05215966231958,0.1178616992436212,-0.0020121536245735,0.1158495456190477,1.0,0.0,0.02858958068614994,0.0,0.02858958068614994,211,194,255,162
27335.0,Arthur Boka,Arthur Etienne Boka,Málaga,14,1079,1298,1.80993932496896,-0.4257707013457548,1.3841686236232054,0.1509680623236389,-0.0355137749037237,0.1154542874199151,0.0,0.0,0.0,0.0,0.0,212,194,257,163
15805.0,Hernán Santana,Hernán Daniel Santana Trujillo,Las Palmas,18,972,1147,1.1116862793569453,0.1342492984258569,1.2459355777828025,0.1029339147552727,0.0124304905949867,0.1153644053502594,1.0,0.0,0.0925925925925926,0.0,0.0925925925925926,118,194,169,164
25859.0,Duda,Sérgio Paulo Barbosa Valente,Málaga,26,1147,1550,1.8266492814912725,-0.3790221850504167,1.4476270964408555,0.1433290630638313,-0.0297401888880013,0.1135888741758299,1.0,1.0,0.07846556233653008,0.07846556233653008,0.15693112467306017,136,101,126,165
24132.0,Francisco Varela,Francisco Miguel Varela Martín,Real Betis,14,958,966,1.3954461053553968,-0.2212470579252112,1.1741990474301855,0.1310961894383984,-0.0207852142100929,0.1103109752283055,0.0,0.0,0.0,0.0,0.0,212,194,257,166
20064.0,Miguel Lopes,Hugo Miguel Almeida Costa Lopes,Granada,26,2051,2071,2.675378706975607,-0.1799147317651659,2.4954639752104413,0.1173983830462236,-0.0078948443973012,0.1095035386489223,0.0,1.0,0.0,0.04388103364212579,0.04388103364212579,212,158,237,167
6733.0,Pedro Mosquera,Pedro Mosquera Parada,RC Deportivo La Coruña,37,3412,3987,3.0650461199369747,1.0764207369065844,4.141466856843559,0.0808482270792285,0.0283932785233272,0.1092415056025557,0.0,0.0,0.0,0.0,0.0,212,194,257,168
6736.0,Álvaro Medrán,Álvaro Medrán Just,Getafe,20,1536,1430,1.7031680798067246,0.1556518466386478,1.8588199264453724,0.0997950046761752,0.0091202253889832,0.1089152300651585,2.0,1.0,0.1171875,0.05859375,0.17578125,99,134,117,169
