player_id,name,player_name,team_name,games,minutes,actions,offensive,defensive,vaep,offensive_p90,defensive_p90,vaep_p90
5506.0,Javier Mascherano,Javier Alejandro Mascherano,Barcelona,32,2778,4148,7.368364373513032,0.6678114382957574,8.03617581180879,0.2387159084291479,0.02163535977200078,0.2603512682011487
6384.0,Gabi,Gabriel Fernández Arenas,Atlético Madrid,35,2979,4391,8.340417661140208,0.24737203140102793,8.587789692541236,0.25197636438490056,0.0074734752689132305,0.25944983965381374
6862.0,Cédric Bakambu,Cédric Bakambu,Villarreal,34,1938,1320,5.851750930771232,-0.457918443280505,5.393832487490727,0.2717531391999024,-0.0212655623814476,0.2504875768184548
6396.0,Beñat Etxebarria,Beñat Etxebarria Urkiaga,Athletic Club,36,3003,4032,8.452387608134188,-0.09850606831605546,8.353881539818133,0.25331830993409155,-0.002952229819662002,0.25036608011442957
4324.0,Dani Alves,Daniel Alves da Silva,Barcelona,29,2206,3874,5.571687186359894,0.5447743368276861,6.11646152318758,0.22731271385874452,0.02222560757683216,0.2495383214355767
6699.0,Ander Capa,Ander Capa Rodríguez,Eibar,36,3242,3470,8.35440295279841,0.521332096264814,8.875735049063223,0.23192358598144874,0.014472513468178056,0.2463960994496268
6928.0,Tana,Pedro Taunausú Domínguez Placeres,Las Palmas,27,2166,2608,6.027606457186863,-0.10390571167226881,5.923700745514594,0.25045456193297216,-0.004317411842338039,0.2461371500906341
5207.0,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,36,3295,2755,9.880074657079813,-0.8905405021359911,8.989534154943822,0.2698654686304046,-0.02432432327533815,0.24554114535506644
6701.0,Joan Jordán,Joan Jordán Moreno,Espanyol,9,647,776,1.829876365621807,-0.09320659894729033,1.7366697666745168,0.25454230742807205,-0.012965369250782273,0.2415769381772898
6624.0,Burgui,Jorge Franco Alviz,Espanyol,26,1051,1015,2.9059741832620727,-0.09758952373522334,2.8083846595268493,0.24884650475127168,-0.008356857408344529,0.24048964734292716
7909.0,Nicolás Pareja,Nicolás Martín Pareja,Sevilla,2,128,172,0.3058313190122135,0.035670941695570946,0.34150226070778444,0.21503764618046262,0.02508113087969832,0.24011877706016094
6740.0,Chory Castro,Gonzalo Castro Irizábal,Málaga,24,1456,1515,4.065669587951153,-0.2066351834218949,3.859034404529259,0.2513119937607169,-0.012772779195034712,0.23853921456568222
6390.0,Markel Susaeta,Markel Susaeta Laskurain,Athletic Club,28,1975,1835,5.2803648126777265,-0.07035246294981334,5.210012349727913,0.2406242193118964,-0.003205935020497823,0.23741828429139858
10755.0,Jonathan Viera,Jonathan Viera Ramos,Las Palmas,36,3216,4383,8.959043227651753,-0.5294726907741278,8.429570536877625,0.2507194933111498,-0.014817332764201338,0.23590216054694843
6563.0,Juanpi,Juan Pablo Añor Acosta,Málaga,29,1680,1741,4.600030729973689,-0.2021860461391043,4.397844683834585,0.2464302176771619,-0.010831395328880588,0.23559882234828133
6685.0,Mikel Oyarzabal,Mikel Oyarzabal Ugarte,Real Sociedad,22,1561,1263,4.0444864843674,0.030733650462934747,4.075220134830335,0.2331862803286778,0.0017719593476387748,0.23495823967631657
6728.0,Fede Cartabia,Federico Nicolás Cartabia,RC Deportivo La Coruña,26,1400,1680,3.513455607714364,0.11649945221142843,3.6299550599257926,0.22586500335306628,0.007489250499306114,0.23335425385237238
22819.0,Bruno Soriano,Bruno Soriano Llido,Villarreal,31,2710,3421,7.0302368690373225,-0.038779477719799615,6.991457391317523,0.23347650118574131,-0.0012878793338678839,0.23218862185187344
3063.0,Danilo,Danilo Luiz da Silva,Real Madrid,24,2115,2954,5.46441874303855,-0.013606066087959334,5.450812676950591,0.2325284571505766,-0.000578981535657844,0.23194947561491877
6725.0,Zakaria Bakkali,Zakaria Bakkali,Valencia,16,610,579,1.828243273545988,-0.26371266006026417,1.5645306134857238,0.2697408108510474,-0.03890842525479307,0.23083238559625432
6320.0,Filipe Luis,Filipe Luís Kasmirski,Atlético Madrid,32,2947,4452,7.474249102699105,0.04243535638670437,7.516684459085809,0.22826006760872733,0.0012959559127259563,0.2295560235214533
5203.0,Sergio Busquets,Sergio Busquets i Burgos,Barcelona,35,2988,4631,6.938812096195761,0.6546214318659622,7.593433528061723,0.20900036434324584,0.01971751300801091,0.22871787735125673
6720.0,Pablo Sarabia,Pablo Sarabia García,Getafe,31,2609,2900,7.220266348980833,-0.6151007570151705,6.605165591965663,0.24907013085790533,-0.021218500625283767,0.22785163023262156
5721.0,Daniel Carvajal,Daniel Carvajal Ramos,Real Madrid,22,1685,2435,3.8993651238561142,0.3503785285865888,4.249743652442703,0.2082746950427598,0.01871458016189495,0.22698927520465476
6382.0,Fernando Torres,Fernando José Torres Sanz,Atlético Madrid,30,1765,1147,4.68227270047646,-0.2308774392295163,4.451395261246944,0.23875611503845973,-0.01177278726949375,0.22698332776896596
6718.0,Sergio Escudero,Sergio Escudero Palomo,Sevilla,15,1218,1301,3.208722642926732,-0.13771431241184473,3.0710083305148874,0.23709773223596545,-0.010175934414668329,0.2269217978212971
6332.0,Thomas Vermaelen,Thomas Vermaelen,Barcelona,10,528,676,1.2496150127262808,0.07963857069262303,1.3292535834189039,0.21300255898743423,0.013574756368060745,0.22657731535549497
20669.0,Tiago,Tiago Cardoso Mendes,Atlético Madrid,14,1097,1496,2.5592386899515986,0.1939531684620306,2.7531918584136292,0.2099648879632123,0.0159122927635212,0.2258771807267335
6581.0,Jony,Jonathan Rodríguez Menéndez,Sporting Gijón,36,2956,2695,7.940653077330187,-0.5482164673157968,7.39243661001439,0.24176548611627768,-0.016691299749127777,0.2250741863671499
25707.0,Fran Rico,Francisco Manuel Rico Castro,Granada,28,1535,1696,3.820561117753852,0.016762479732278734,3.837323597486131,0.22400684078035613,0.0009828164012410986,0.22498965718159725
26685.0,Miku Fedor,Nicolás Ladislao Fedor Flores,Rayo Vallecano,22,1604,1020,4.148236949342769,-0.1578357546532061,3.9904011946895626,0.2327564373072626,-0.008856120897000342,0.22390031641026223
23816.0,José Antonio Reyes,José Antonio Reyes Calderón,Sevilla,24,1229,1313,4.004549685014179,-0.9507669307058677,3.0537827543083114,0.2932542486991669,-0.06962491762695533,0.22362933107221158
5199.0,Koke,Jorge Resurrección Merodio,Atlético Madrid,35,3071,4435,7.7131637790105305,-0.11227310888352804,7.6008906701270025,0.22604517750275083,-0.003290322305280861,0.22275485519746993
6847.0,Adalberto Peñaranda,Adalberto Peñaranda Maestre,Granada,23,1722,1165,4.5998015971530695,-0.3402443533123005,4.259557243840769,0.24040774898012557,-0.017782805922245674,0.2226249430578799
6356.0,Michael Krohn-Dehli,Michael Krohn-Dehli,Sevilla,27,1745,1808,4.301862519818591,0.0012051397352479398,4.303067659553839,0.2218725654920763,6.215620411020892e-05,0.2219347216961865
7900.0,Bebé,Tiago Manuel Dias Correia,Rayo Vallecano,34,2304,2184,6.090574896046659,-0.4531644184025936,5.637410477644066,0.23791308187682264,-0.017701735093851312,0.22021134678297133
5633.0,Yannick Carrasco,Yannick Ferreira Carrasco,Atlético Madrid,29,1553,2066,3.937137085727183,-0.2421085793466773,3.6950285063805057,0.22816634753087348,-0.014030761198455219,0.21413558633241822
11675.0,Moi Gómez,Moisés Gómez Bordonado,Getafe,22,972,968,2.073934972412186,0.2256667429173831,2.299601715329569,0.19203101596409128,0.02089506878864658,0.21292608475273783
