name,seed_20160817,seed_7,seed_1234,mean,spread,rank_move
Rubén García,0.07832744048349173,0.08513250323501673,0.07341246745914835,0.07895747039255228,0.011720035775868373,16
Guilherme Siqueira,0.07720500171919158,0.0816002266857301,0.07726935004646937,0.07869152615046368,0.004395224966538519,1
Claudio Bravo,0.07562636103881222,0.07445308231597207,0.08406740499392916,0.07804894944957115,0.009614322677957088,25
Mehdi Lacen,0.0817398454109384,0.07837265327562787,0.07339273868032355,0.0778350791222966,0.008347106730614853,22
Raúl Albentosa,0.08291772962486706,0.07209422557708366,0.07832257544112846,0.0777781768810264,0.0108235040477834,29
Jefferson Lerma,0.07011850333606455,0.08167770511735967,0.08139400464948267,0.0777300710343023,0.011559201781295117,24
Juanfran,0.0755446870099624,0.07776178607477263,0.07961753534191951,0.07764133614221819,0.004072848331957105,16
Guillermo Ochoa,0.07796818919787174,0.07030183058864939,0.08337542668863973,0.07721514882505362,0.013073596099990342,32
Sofiane Feghouli,0.07057703154748658,0.08896212120130308,0.07050928743444736,0.07668281339441234,0.01845283376685572,40
Alphonse Areola,0.06997482546350821,0.08040128438880585,0.07936335770438668,0.07657982251890025,0.010426458925297644,20
Dani Castellano,0.07295827218485819,0.08003121681339921,0.07360936334908516,0.07553295078244752,0.0070729446285410225,4
Víctor Rodríguez,0.07113366438112895,0.0743679449314658,0.07961566467789116,0.07503909133016197,0.008482000296762215,18
Jordi Alba,0.0773625280740969,0.07239206855520895,0.07152973329860556,0.0737614433093038,0.00583279477549134,14
Yuri Berchiche,0.07010008262127508,0.08325396513374439,0.06753756658394758,0.07363053811298902,0.01571639854979681,26
Pablo Fornals,0.06452720428069358,0.07948796132164444,0.07671636081770944,0.07357717547334915,0.014960757040950859,25
Juan Carlos,0.06363230678125517,0.08652965771760796,0.06874267930251239,0.0729682146004585,0.022897350936352784,42
Javier Garrido,0.07329423768525885,0.0712745074888859,0.07358086456495477,0.07271653657969984,0.0023063570760688684,9
Borja Bastón,0.06981370000207979,0.08477449097482988,0.06305379658375251,0.0725473291868874,0.021720694391077364,35
Vicente Gómez,0.07384604176504102,0.07366063877653735,0.06838571557454998,0.07196413203870945,0.005460326190491041,14
Rachid Aït-Atmane,0.07534580017726518,0.06169677191700435,0.07882220879132806,0.07195492696186587,0.01712543687432371,33
Jonathan dos Santos,0.07817165417385767,0.064417045661133,0.07241396260409763,0.07166755414636276,0.01375460851272467,29
